base,bybit_symbol,kucoin_symbol,bybit_start,kucoin_start,bybit_avg_volume,kucoin_avg_volume,min_avg_volume
FXS,FXSUSDT,FXSUSDTM,1649044820000,,561702.26,713818.4,561702.26
G,GUSDT,GUSDTM,1721898436000,,57865796.0,110653.8,110653.8
GALA,GALAUSDT,GALAUSDTM,1636416000000,,2396053839.7,198518050.1,198518050.1
GMT,GMTUSDT,GMTUSDTM,1647667511000,,271842362.5,7648326.2,7648326.2
GOAT,GOATUSDT,GOATUSDTM,1729593864000,,464970203.9,44494279.8,44494279.8
GPS,GPSUSDT,GPSUSDTM,1739866543000,,65945571.6,499176.7,499176.7
GRASS,GRASSUSDT,GRASSUSDTM,1728987123000,,5981965.2,601023.1,601023.1
GRIFFAIN,GRIFFAINUSDT,GRIFFAINUSDTM,1734683999000,,199410664.6,37260563.7,37260563.7
GRT,GRTUSDT,GRTUSDTM,1638748800000,,65335645.41,7438880.0,7438880.0
GUN,GUNUSDT,GUNUSDTM,1743426729000,,117574912.0,1315782.2,1315782.2
HAEDAL,HAEDALUSDT,HAEDALUSDTM,1746012593000,,250305376.0,2229958.7,2229958.7
HBAR,HBARUSDT,HBARUSDTM,1635120000000,,249779579.6,1917856.6,1917856.6
HEI,HEIUSDT,HEIUSDTM,1739525015000,,2214186.29,213921.8,213921.8
HFT,HFTUSDT,HFTUSDTM,1678776349000,,10176194.5,292020.5,292020.5
HIFI,HIFIUSDT,HIFIUSDTM,1693210322000,,124673606.0,4445214.4,4445214.4
HIGH,HIGHUSDT,HIGHUSDTM,1675759370000,,9518745.22,967607.8,967607.8
HIPPO,HIPPOUSDT,HIPPOUSDTM,1731570967000,,4211860805.0,7671473.4,7671473.4
HMSTR,HMSTRUSDT,HMSTRUSDTM,1726034896000,,1192572108.0,939207.0,939207.0
HOOK,HOOKUSDT,HOOKUSDTM,1675758352000,,10047187.92,1423545.3,1423545.3
HOT,HOTUSDT,HOTUSDTM,1648450156000,,1008578750.0,325871.4,325871.4
HYPE,HYPEUSDT,HYPEUSDTM,1733316740000,,4803630.89,2393470.6,2393470.6
HYPER,HYPERUSDT,HYPERUSDTM,1745323627000,,41370099.4,979715.6,979715.6
ICP,ICPUSDT,ICPUSDTM,1631664000000,,1716833.68,25748515.1,1716833.68
ICX,ICXUSDT,ICXUSDTM,1649830935000,,89376560.3,173258.5,173258.5
IMX,IMXUSDT,IMXUSDTM,1637712000000,,15377201.73,1010474.8,1010474.8
INIT,INITUSDT,INITUSDTM,1744616093000,,63691266.9,3117550.6,3117550.6
INJ,INJUSDT,INJUSDTM,1660694400000,,3067604.83,479371.1,479371.1
IO,IOUSDT,IOUSDTM,1718113740000,,10907623.12,1876971.4,1876971.4
IOTA,IOTAUSDT,IOTAUSDTM,1640772993000,,28292244.65,325507.2,325507.2
IOTX,IOTXUSDT,IOTXUSDTM,1636675200000,,40981919.7,1086930.4,1086930.4
IP,IPUSDT,IPUSDTM,1738916896000,,2601095.79,178074.4,178074.4
J,JUSDT,JUSDTM,1737542211000,,3253196.76,325445.4,325445.4
JASMY,JASMYUSDT,JASMYUSDTM,1642574202000,,632349531.9,23964298.1,23964298.1
JELLYJELLY,JELLYJELLYUSDT,JELLYJELLYUSDTM,1738219511000,,372000934.9,479654.3,479654.3
JOE,JOEUSDT,JOEUSDTM,1680062568000,,2144631.0,132670.9,132670.9
JTO,JTOUSDT,JTOUSDTM,1701978619000,,3960885.43,246224.7,246224.7
JUP,JUPUSDT,JUPUSDTM,1706716267000,,51012946.3,2500952.2,2500952.2
KAITO,KAITOUSDT,KAITOUSDTM,1740057727000,,104725013.8,6432866.7,6432866.7
KAS,KASUSDT,KASUSDTM,1691138081000,,235151261.0,474000.5,474000.5
KAVA,KAVAUSDT,KAVAUSDTM,1641801287000,,10357478.08,5990331.3,5990331.3
KDA,KDAUSDT,KDAUSDTM,1647311832000,,4026526.26,13601733.7,4026526.26
KERNEL,KERNELUSDT,KERNELUSDTM,1744632444000,,32193267.2,207504.7,207504.7
KOMA,KOMAUSDT,KOMAUSDTM,1733837747000,,658597803.3,6269528.9,6269528.9
KSM,KSMUSDT,KSMUSDTM,1633996800000,,189074.61,2446106.5,189074.61
LDO,LDOUSDT,LDOUSDTM,1658300019000,,24263274.44,13180815.1,13180815.1
LEVER,LEVERUSDT,LEVERUSDTM,1685960641000,,14619726660.0,1996736.9,1996736.9
LINK,LINKUSDT,LINKUSDTM,1514764800000,,8023128.42,4744189.6,4744189.6
LISTA,LISTAUSDT,LISTAUSDTM,1718965015000,,11370118.7,3064797.5,3064797.5
LOOKS,LOOKSUSDT,LOOKSUSDTM,1643006232000,,168959113.09,11128446.7,11128446.7
LQTY,LQTYUSDT,LQTYUSDTM,1678694760000,,1396733.01,350968.6,350968.6
LRC,LRCUSDT,LRCUSDTM,1636588800000,,49204472.98,6233606.8,6233606.8
LTC,LTCUSDT,LTCUSDTM,1514764800000,,1238799.94,851378.1,851378.1
MAGIC,MAGICUSDT,MAGICUSDTM,1670897921000,,47491144.0,6256629.1,6256629.1
MAJOR,MAJORUSDT,MAJORUSDTM,1731921482000,,23334939.55,3635677.4,3635677.4
MANA,MANAUSDT,MANAUSDTM,1636329600000,,14964470.94,1570864.3,1570864.3
MANTA,MANTAUSDT,MANTAUSDTM,1705575778000,,7627476.82,1429123.0,1429123.0
MASK,MASKUSDT,MASKUSDTM,1638444542000,,3591322.34,4385749.0,3591322.34
MAV,MAVUSDT,MAVUSDTM,1687945209000,,13651810.5,2911474.8,2911474.8
MAVIA,MAVIAUSDT,MAVIAUSDTM,1707297146000,,35256222.89,54723580.3,35256222.89
MDT,MDTUSDT,MDTUSDTM,1688112286000,,9225838.0,108041.5,108041.5
ME,MEUSDT,MEUSDTM,1732521795000,,6642481.6,5906164.7,5906164.7
MELANIA,MELANIAUSDT,MELANIAUSDTM,1737350019000,,28671192.89,34343713.9,28671192.89
MEME,MEMEUSDT,MEMEUSDTM,1699001325000,,3339868873.0,7991309.4,7991309.4
MERL,MERLUSDT,MERLUSDTM,1713524541000,,23159988.62,2409179.2,2409179.2
MEW,MEWUSDT,MEWUSDTM,1713863741000,,6816232920.0,3202793.3,3202793.3
MINA,MINAUSDT,MINAUSDTM,1649228613000,,11719805.13,1185656.1,1185656.1
MOCA,MOCAUSDT,MOCAUSDTM,1720778262000,,72691927.0,826582.8,826582.8
MOODENG,MOODENGUSDT,MOODENGUSDTM,1727765946000,,2093089264.3,14967962.4,14967962.4
MORPHO,MORPHOUSDT,MORPHOUSDTM,1732264559000,,914507.4,335674.5,335674.5
MOVE,MOVEUSDT,MOVEUSDTM,1733745977000,,328728846.4,29404025.9,29404025.9
MOVR,MOVRUSDT,MOVRUSDTM,1700719762000,,100532.94,263922.1,100532.94
MUBARAK,MUBARAKUSDT,MUBARAKUSDTM,1742197296000,,670415304.9,12312468.2,12312468.2
MYRO,MYROUSDT,MYROUSDTM,1705585191000,,174455643.6,5893344.9,5893344.9
NC,NCUSDT,NCUSDTM,1737110159000,,80312078.3,431663.8,431663.8
NEAR,NEARUSDT,NEARUSDTM,1633910400000,,28738997.0,16963934.8,16963934.8
NEO,NEOUSDT,NEOUSDTM,1643509229000,,1374119.41,1199346.7,1199346.7
NFP,NFPUSDT,NFPUSDTM,1703673025000,,11385652.89,250859.5,250859.5
NIL,NILUSDT,NILUSDTM,1742468146000,,16252396.0,1490582.7,1490582.7
NKN,NKNUSDT,NKNUSDTM,1676960331000,,142651775.2,3347215.2,3347215.2
NOT,NOTUSDT,NOTUSDTM,1715874083000,,5291655583.0,4631590.5,4631590.5
OGN,OGNUSDT,OGNUSDTM,1647671419000,,6481096.5,235525.5,235525.5
OM,OMUSDT,OMUSDTM,1710743501000,,112891755.9,868221.7,868221.7
OMG,OMGUSDT,OMGUSDTM,1633996800000,,1690923.27,1763368.5,1690923.27
OMNI,OMNIUSDT,OMNIUSDTM,1713358641000,,643503.91,1418538.0,643503.91
ONDO,ONDOUSDT,ONDOUSDTM,1705919392000,,84413892.6,482876.6,482876.6
ONE,ONEUSDT,ONEUSDTM,1635120000000,,124796192.2,1828264.9,1828264.9
ONT,ONTUSDT,ONTUSDTM,1654497420000,,5881628.9,1751585.8,1751585.8
OP,OPUSDT,OPUSDTM,1654059063000,,85779578.18,5441921.1,5441921.1
ORCA,ORCAUSDT,ORCAUSDTM,1711963329000,,2009217.86,193337.5,193337.5
ORDI,ORDIUSDT,ORDIUSDTM,1684739410000,,3649681.95,1636512.5,1636512.5
PARTI,PARTIUSDT,PARTIUSDTM,1742908134000,,223389685.8,1584496.6,1584496.6
PENDLE,PENDLEUSDT,PENDLEUSDTM,1688542002000,,3409633.0,194939.9,194939.9
PENGU,PENGUUSDT,PENGUUSDTM,1734445346000,,4265252349.0,50555301.9,50555301.9
PEOPLE,PEOPLEUSDT,PEOPLEUSDTM,1640749024000,,917264544.4,12245585.2,12245585.2
PERP,PERPUSDT,PERPUSDTM,1693981865000,,8152951.7,2804697.0,2804697.0
PHB,PHBUSDT,PHBUSDTM,1684396645000,,3065743.9,512379.3,512379.3
PIXEL,PIXELUSDT,PIXELUSDTM,1708416370000,,85604814.3,20178856.5,20178856.5
PLUME,PLUMEUSDT,PLUMEUSDTM,1737701100000,,31647475.0,275117.5,275117.5
PNUT,PNUTUSDT,PNUTUSDTM,1731313006000,,418733033.7,33768094.7,33768094.7
POL,POLUSDT,POLUSDTM,1725525013000,,59295142.1,234130.4,234130.4
POLYX,POLYXUSDT,POLYXUSDTM,1698129996000,,18433835.5,105497.1,105497.1
PONKE,PONKEUSDT,PONKEUSDTM,1717749307000,,38361720.7,5711199.5,5711199.5
POPCAT,POPCATUSDT,POPCATUSDTM,1711609319000,,246446904.5,16347602.6,16347602.6
PORTAL,PORTALUSDT,PORTALUSDTM,1709264458000,,76495467.62,8527143.1,8527143.1
PRCL,PRCLUSDT,PRCLUSDTM,1721208686000,,46750079.4,8987438.7,8987438.7
PROMPT,PROMPTUSDT,PROMPTUSDTM,1744293965000,,33025370.7,244206.9,244206.9
PUFFER,PUFFERUSDT,PUFFERUSDTM,1728909421000,,27273072.3,2408490.2,2408490.2
PYTH,PYTHUSDT,PYTHUSDTM,1700543350000,,81253612.4,573305.2,573305.2
QTUM,QTUMUSDT,QTUMUSDTM,1639356566000,,876608.1,571572.4,571572.4
RARE,RAREUSDT,RAREUSDTM,1701067684000,,72286889.8,547049.0,547049.0
RDNT,RDNTUSDT,RDNTUSDTM,1681715107000,,49715687.5,895368.8,895368.8
RENDER,RENDERUSDT,RENDERUSDTM,1721982407000,,4823530.64,2732243.5,2732243.5
REZ,REZUSDT,REZUSDTM,1715154797000,,472420837.9,8554316.2,8554316.2
RIF,RIFUSDT,RIFUSDTM,1698044016000,,6864590.8,178320.9,178320.9
ROSE,ROSEUSDT,ROSEUSDTM,1642140231000,,74289235.7,1900406.6,1900406.6
RSR,RSRUSDT,RSRUSDTM,1638286101000,,275442050.0,460066.0,460066.0
RUNE,RUNEUSDT,RUNEUSDTM,1638144000000,,10345520.93,22306134.2,10345520.93
RVN,RVNUSDT,RVNUSDTM,1641454067000,,77745780.6,1411011.7,1411011.7
S,SUSDT,SUSDTM,1736930840000,,44215885.3,2300443.3,2300443.3
SAGA,SAGAUSDT,SAGAUSDTM,1712662154000,,8499039.02,20313182.0,8499039.02
SAND,SANDUSDT,SANDUSDTM,1635724800000,,54378562.7,1608672.3,1608672.3
SCR,SCRUSDT,SCRUSDTM,1728390358000,,3860093.8,436081.5,436081.5
SEI,SEIUSDT,SEIUSDTM,1692156527000,,158772515.5,1196979.2,1196979.2
SHELL,SHELLUSDT,SHELLUSDTM,1739777623000,,27763375.1,234305.4,234305.4
SIGN,SIGNUSDT,SIGNUSDTM,1745838563000,,242619858.0,175162.2,175162.2
SIREN,SIRENUSDT,SIRENUSDTM,1742613642000,,37554866.8,210606.2,210606.2
SKL,SKLUSDT,SKLUSDTM,1647937788000,,27151797.8,597626.8,597626.8
SLERF,SLERFUSDT,SLERFUSDTM,1710761101000,,18387550.8,2811697.5,2811697.5
SNX,SNXUSDT,SNXUSDTM,1639357278000,,2750079.14,3155232.4,2750079.14
SOLAYER,SOLAYERUSDT,SOLAYERUSDTM,1739283176000,,95485855.9,7498846.9,7498846.9
SOLV,SOLVUSDT,SOLVUSDTM,1737109311000,,117675880.8,783480.1,783480.1
SONIC,SONICUSDT,SONICUSDTM,1736252695000,,38648630.0,1235181.6,1235181.6
SPELL,SPELLUSDT,SPELLUSDTM,1639358469000,,1799610256.0,351681.0,351681.0
SPX,SPXUSDT,SPXUSDTM,1730183497000,,21736455.0,2899106.2,2899106.2
SSV,SSVUSDT,SSVUSDTM,1677655670000,,379230.04,683670.6,379230.04
STG,STGUSDT,STGUSDTM,1661493459000,,4985503.38,317595.1,317595.1
STO,STOUSDT,STOUSDTM,1744795735000,,52945232.0,2003824.0,2003824.0
STORJ,STORJUSDT,STORJUSDTM,1637539200000,,4114992.15,468086.6,468086.6
STRK,STRKUSDT,STRKUSDTM,1708436526000,,98015718.7,7304496.4,7304496.4
STX,STXUSDT,STXUSDTM,1638259183000,,29529125.32,1840976.5,1840976.5
SUI,SUIUSDT,SUIUSDTM,1683029724000,,205181975.0,14085353.5,14085353.5
SUNDOG,SUNDOGUSDT,SUNDOGUSDTM,1724657326000,,152925337.5,1655453.6,1655453.6
SUSHI,SUSHIUSDT,SUSHIUSDTM,1638230400000,,3960522.93,810498.1,810498.1
SWARMS,SWARMSUSDT,SWARMSUSDTM,1736152318000,,434749081.8,5560053.3,5560053.3
SXP,SXPUSDT,SXPUSDTM,1638932481000,,11859613.99,310617.5,310617.5
TAIKO,TAIKOUSDT,TAIKOUSDTM,1717597055000,,2623933.73,172847.8,172847.8
TAO,TAOUSDT,TAOUSDTM,1706601081000,,123044.87,1714666.0,123044.87
THE,THEUSDT,THEUSDTM,1732697404000,,5836478.8,289336.2,289336.2
THETA,THETAUSDT,THETAUSDTM,1628726400000,,8543005.31,9536712.9,8543005.31
TIA,TIAUSDT,TIAUSDTM,1698768749000,,20520863.8,1283340.4,1283340.4
